total_area,living_area,kitchen_area,cityCenters_nearest,bedrooms,floors_total,ceiling_height,airports_nearest,floor,balcony,price_class
58.0,38.0,7.0,15726,3,9,2.5,49725,1,2,0.0
63.3,29.2,16.6,2254,1,4,3.32,24603,3,0,1.0
97.0,48.5,15.5,12886,3,19,2.8,44259,11,5,1.0
52.0,31.1,7.5,13342,2,12,2.67,35534,11,1,0.0
34.1,20.0,12.0,5917,1,5,2.5,21525,3,0,1.0
44.3,28.5,5.3,10765,2,5,2.5,12623,5,0,0.0
52.0,30.0,8.5,11273,2,12,2.65,35242,3,1,0.0
131.0,84.0,12.0,14764,4,7,3.0,51690,4,3,1.0
100.3,74.0,17.0,11956,2,8,3.0,38393,8,0,1.0
33.2,18.1,6.3,16830,1,12,2.5,47888,4,2,0.0
45.0,29.0,5.5,11618,2,5,2.5,11209,2,1,0.0
85.0,50.5,13.0,15228,3,8,2.75,39945,2,2,1.0
110.0,49.6,42.8,14015,3,14,2.97,42312,8,1,1.0
